No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,A01B3/00,0,固定刃を有するプラウ,プラウはすきのこと　１／２０のすきは手作業用,-,2B032
2,A01B3/02,1,人力プラウ,-,-,2B032
3,A01B3/04,1,畜力プラウ,-,-,2B032
4,A01B3/06,2,転換不可能なもの，すなわち，復耕の場合隣接畦を作ることが不可能なもの,転換の意味は３／２６参照,-,2B032
5,A01B3/08,3,揺動プラウ,-,-,2B032
6,A01B3/10,3,ビームプラウ；単輪プラウ,単輪プラウはプラウ部に車輪がついたもの。図１（１）ビームプラウは畜力用に多い。車両に装着するものはフレームで機体につける。図２（２）,コールターは１５／１８,2B032
7,A01B3/12,3,二輪ビームプラウ,-,コールターは１５／１８,2B032
8,A01B3/14,3,フレームプラウ,-,-,2B032
9,A01B3/16,2,転換できるプラウ，すなわち，復耕の場合隣接畦を作ることが可能なもの,-,-,2B032
10,A01B3/18,3,双用プラウ,行きと帰りで向きの違うプラウを交互に使うもの。図,-,2B032
11,A01B3/20,3,平衡プラウ,-,-,2B032
12,A01B3/22,3,転換できるように用いられる並列プラウ機構を有するもの,-,-,2B032
13,A01B3/24,1,トラクタ用牽引プラウ（Ａ０１Ｂ３／０４が優先）,-,３／２４と３／３６の区別はっきりしない。強固に固定が３／３６と考える,2B032
14,A01B3/26,2,転換できないもの,トラクタが往復するのにプラウの位置を転換できるという意味。図,-,2B032
15,A01B3/28,2,転換できるプラウ,-,-,2B032
16,A01B3/30,3,双用プラウ,-,-,2B032
17,A01B3/32,3,平衡プラウ,-,-,2B032
18,A01B3/34,3,転換できるように用いられる並列プラウ機構を有するもの,-,-,2B032
19,A01B3/36,1,トラクタ装備用プラウ,-,３／２４と３／３６の区別はっきりしない。強固に固定が３／３６と考える,2B032
20,A01B3/38,2,転換できないもの,-,-,2B032
21,A01B3/40,2,転換できるプラウ,-,-,2B032
22,A01B3/42,3,双用プラウ,-,-,2B032
23,A01B3/42@A,0,多段のもの,-,-,2B032
24,A01B3/42@B,0,多連のもの,-,-,2B032
25,A01B3/42@Z,0,その他のもの,-,-,2B032
26,A01B3/421,4,一体として作られた軸承枠を有するもの［２］,-,-,2B032
27,A01B3/426,4,二以上の部分からなる軸承枠を有するもの［２］,-,-,2B032
28,A01B3/44,3,転換できるように用いられる並列プラウ機構を有するもの,-,-,2B032
29,A01B3/46,1,一部をトラクタに，残りを自身の車輪で支持するプラウ,-,-,2B032
30,A01B3/50,1,自己推進されるプラウ,-,-,2B032
31,A01B3/52,2,三つ以上の車輪または無限軌道によるもの,-,-,2B032
32,A01B3/54,3,転換できないもの,-,-,2B032
33,A01B3/56,3,転換プラウ,-,-,2B032
34,A01B3/58,2,二つの車輪を有するもの,-,-,2B032
35,A01B3/60,3,転換プラウ,-,-,2B032
36,A01B3/62,4,平衡プラウ,-,-,2B032
37,A01B3/64,1,ケーブル式プラウ；ケーブル式プラウ機構のための指示または信号装置,図,-,2B032
38,A01B3/66,2,原動機により駆動される巻取り装置を装着しているプラウを有するもの,-,-,2B032
39,A01B3/68,2,ケーブル機構で一つまたは二つのエンジンを有するもの,-,-,2B032
40,A01B3/70,3,登坂のための一つのエンジンを有する機構,-,-,2B032
41,A01B3/72,2,ケーブル固定手段,-,-,2B032
42,A01B3/74,1,プラウを推進させるための電気力の使用,-,-,2B032
