No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G01S7/00,0,グループＧ０１Ｓ１３／００，Ｇ０１Ｓ１５／００，Ｇ０１Ｓ１７／００による方式の細部,-,-,5J070
2,G01S7/02,1,グループＧ０１Ｓ１３／００による方式のもの,-,-,5J070
3,"G01S7/02,200",2,送受信アンテナがいずれも単一であるレーダ方式，例．ビームのパターン，方向を変えるもの,７／０２には、送受信ビームの指向性、ビームの振り方、アンテナの配置や制御に関係したレーダ方式等、７／０３以降に分類されにくいものが、主にアンテナの構成別にＦＩで細分類されています。すなわち、レーダ装置を、動作順に大きく、送信器、アンテナ、受信器、信号処理部、表示器に分けたとき、アンテナに深く関係したものが分類されています。２００には、送受信アンテナがいずれも単一であるレーダ方式が分類され、例えば自動車の衝突防止装置等においてカーブ走行時にビーム方向をかえるものや，測定距離や方向に応じてビームパターンを変更するものなどが含まれています。 代表公報：AH03-111779、AS62-123383,アンテナ周辺の具体的な構造は、G01S7/03,5J070
4,"G01S7/02,202",3,干渉波除去，高指向性,７／０２には、送受信ビームの指向性、ビームの振り方、アンテナの配置や制御に関係したレーダ方式等、７／０３以降に分類されにくいものが、主にアンテナの構成別にＦＩで細分類されています。すなわち、レーダ装置を、動作順に大きく、送信器、アンテナ、受信器、信号処理部、表示器に分けたとき、アンテナに深く関係したものが分類されています。２０２には、送受信アンテナがいずれも単一で、あるレーダ方式の内、干渉波除去（例えば、送信アンテナから直接受信アンテナに回り込む干渉波に対して、それを打ち消すような成分を送信器から分岐し受信器に注入するもの）、高指向性（例えば、送信には、縦長のファンビーム、受信には、横長のファンビームを用いて結果として、鋭いペンビームを用いた場合と等価にするもの）に関するものが分類されています。代表公報：AS60-173934、AS52-29138,アンテナ周辺の具体的な構造は、G01S7/03,5J070
5,"G01S7/02,210",2,送受信アンテナのいずれかが複数であるレーダ方式,７／０２には、送受信ビームの指向性、ビームの振り方、アンテナの配置や制御に関係したレーダ方式等、７／０３以降に分類されにくいものが、主にアンテナの構成別にＦＩで細分類されています。すなわち、レーダ装置を、動作順に大きく、送信器、アンテナ、受信器、信号処理部、表示器に分けたとき、アンテナに深く関係したものが分類されています。２１０には、送受信アンテナのいずれかが複数であるレーダ方式が分類されています。 代表公報：AH04-122874,アンテナ周辺の具体的な構造は、G01S7/03,5J070
6,"G01S7/02,212",3,アンテナを各々独立して使用するもの,７／０２には、送受信ビームの指向性、ビームの振り方、アンテナの配置や制御に関係したレーダ方式等、７／０３以降に分類されにくいものが、主にアンテナの構成別にＦＩで細分類されています。すなわち、レーダ装置を、動作順に大きく、送信器、アンテナ、受信器、信号処理部、表示器に分けたとき、アンテナに深く関係したものが分類されています。２１２には、送受信アンテナのいずれかが、複数であるレーダ方式のうち、アンテナをそれぞれ独立して使用するものが分類されています。 代表公報：AH04-84794,アンテナ周辺の具体的な構造は、G01S7/03,5J070
7,"G01S7/02,214",3,主・副アンテナによるサイドローブ除去,７／０２には、送受信ビームの指向性、ビームの振り方、アンテナの配置や制御に関係したレーダ方式等、７／０３以降に分類されにくいものが、主にアンテナの構成別にＦＩで細分類されています。すなわち、レーダ装置を、動作順に大きく、送信器、アンテナ、受信器、信号処理部、表示器に分けたとき、アンテナに深く関係したものが分類されています。２１４には、送受信アンテナのいずれかが複数であるレーダ方式のうち、主・副アンテナによるサイドローブ除去を行っているものが分類されています。７／３６と関係が深く、両方に分類付与されることが多いです。 代表公報：AH04-148886,アンテナ周辺の具体的な構造は、G01S7/03。対妨害に関するものは、G01S7/36。,5J070
8,"G01S7/02,216",3,フェーズドアレイアンテナを使用するもの,７／０２には、送受信ビームの指向性、ビームの振り方、アンテナの配置や制御に関係したレーダ方式等、７／０３以降に分類されにくいものが、主にアンテナの構成別にＦＩで細分類されています。すなわち、レーダ装置を、動作順に大きく、送信器、アンテナ、受信器、信号処理部、表示器に分けたとき、アンテナに深く関係したものが分類されています。２１６には、送受信アンテナのいずれかが複数であるレーダ方式のうち、フェーズドアレイアンテナを使用するものが分類されていますが、単なるアレーアンテナやＤＢＦ（デジタル・ビーム・フォーマ：複数のアンテナ素子で同時刻に受信された信号に対して、捜索範囲内の各方向について、その方向にビームを形成するための位相や重み付けを付加して高速で合成するもの）も含まれています。 代表公報：AH04-121684,"ＤＢＦ（デジタルビームホーマ）は、G01S7/02,218にもはいっている。アンテナ周辺の具体的な構造は、G01S7/03。",5J070
9,"G01S7/02,218",4,位相差検出による方探,７／０２には、送受信ビームの指向性、ビームの振り方、アンテナの配置や制御に関係したレーダ方式等、７／０３以降に分類されにくいものが、主にアンテナの構成別にＦＩで細分類されています。すなわち、レーダ装置を、動作順に大きく、送信器、アンテナ、受信器、信号処理部、表示器に分けたとき、アンテナに深く関係したものが分類されています。２１８には、フェーズドアレイアンテナを使用するもののうち、２以上のアンテナの受信信号間の位相差を検出することにより反射信号の到来方向を探知するものが分類されています。代表公報：AS63-187181,"アンテナ周辺の具体的な構造は、G01S7/03。ＤＢＦ（デジタルビームホーマ）は、G01S7/02,216にもはいっている。",5J070
10,G01S7/03,2,そのために特に適合されたＨＦサブ方式の細部，例．送信機，受信機に共通なもの［５］,-,-,5J070
