No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G06F21/00,0,不正行為から計算機，その部品，プログラムまたはデータを保護するためのセキュリティ装置［８，２０１３．０１］,"【ＩＰＣタイトル】 Security arrangements for protecting computers, components thereof, programs or data against unauthorised activity [2006.01, 2013.01] 下位分類に適切なものがない場合ここに分類する。",-,5B285
2,G06F21/10,1,配布されたプログラムまたはコンテンツを保護するもの，例．著作物を販売またはライセンスするもの（ビデオシステムまたは有料放送における保護Ｈ０４Ｎ７／１６）［２０１３．０１］,"【ＩＰＣタイトル】 Protecting distributed programs or content, e.g. vending or licensing of copyrighted material (protection in video systems or pay television H04N 7/16) [2013.01] 保護対象のコンテンツが、プログラムかそれ以外（画像、映像、音楽など）かは問わない。",-,5B017
3,"G06F21/10,350",2,ソフトウェアライセンス管理のためのツール，例．法人レベルでライセンスを管理するもの,ライセンス管理に関する技術はここに分類する。,-,5B017
4,G06F21/12,2,実行可能なソフトウェアを保護するもの［２０１３．０１］,【ＩＰＣタイトル】 Protecting executable software [2013.01],-,5B276
5,"G06F21/12,310",3,プログラムの不正実行を制限するもの,-,-,5B276
6,"G06F21/12,330",4,特定のハードウェアを用いるもの，例．ドングル，スマートカード，暗号プロセッサ，ＧＰＳ機器,-,-,5B276
7,"G06F21/12,350",4,プログラムコードを操作することによるもの，例．ソースコード，コンパイルされたコード，インタープリトされたコード，機械語,プログラム自身に実行制限のためのコードが埋め込まれているもの。,-,5B276
8,"G06F21/12,360",5,ＯＳと相互作用するもの,-,-,5B276
9,"G06F21/12,380",4,ウェブプログラムを含むもの，即ち，ウェブブラウザと相互作用する特にインターネットで使用される技術を用いるもの，例．ＨＴＭＬ，アプレット,-,-,5B276
10,G06F21/14,3,ソフトウェア分析またはリバースエンジニアリングに対するもの，例．難読化によるもの［２０１３．０１］,"【ＩＰＣタイトル】 against software analysis or reverse engineering, e.g. by obfuscation [2013.01] コードに冗長な処理を追加したり、意味の無い分岐を付与するなどして、所望の動作はするが、その解析を困難とするもの。 ハードウェア構成によるリバースエンジニアリング対策はG06F21/75へ。",-,5B276
11,G06F21/16,2,プログラムまたはコンテンツの追跡可能性，例．透かしによる［２０１３．０１］,"【ＩＰＣタイトル】 Program or content traceability, e.g. by watermarking (digital watermarking on images H04N 1/32) [2013.01] コンテンツに著作者の情報を付加して、不正にコピーされたコンテンツの出所を明確にする技術や、コンテンツに利用者の情報を付加して、不正コピーの流出元を特定する技術、あるいは、サーバで配布ログなどを管理して追跡する技術に付与。",-,5B276
12,G06F21/30,1,認証，すなわちセキュリティ主体の身元又は認可の確立［２０１３．０１］,"【ＩＰＣタイトル】 Authentication, i.e. establishing the identity or authorisation of security principals [2013.01] CAPTCHA(Completely Automated Public Turing test to tell Computers and Humans Apart:応答者がコンピュータでなく、人間であることを確認する技術)はここに付与する。 　属性(例えば成年／未成年や、男性／女性)のみを確認して、ユーザ個人を特定しないものもここに付与する。",-,5B285
13,"G06F21/30,350",2,遠隔制御装置の操作によるもの,認証が、第三者（アクセスされるＷｅｂサイト側など）から開始・強制されるもの,-,5B285
14,G06F21/31,2,ユーザーの認証［２０１３．０１］,【ＩＰＣタイトル】 User authentication [2013.01] オペレータやユーザなどが正当な利用者であることを確認する技術に関するものが付与される。パスワード認証で、他に適切な分類がないものはここに付与する。,-,5B285
15,"G06F21/31,330",3,電話回線を介したコールバックテクニックを用いるもの,-,-,5B285
16,"G06F21/31,360",3,コンピュータの使用パターンを監視するもの，例．典型的なユーザの振舞,ユーザの機器操作の癖を観察して、いつもと違う場合に、操作を禁止するものはここに付与する。 コンピュータの利用履歴を用いた認証もここに付与する,-,5B285
17,G06F21/32,3,生体データを用いるもの，例．指紋，虹彩スキャンまたは声紋［２０１３．０１］,"【ＩＰＣタイトル】 using biometric data, e.g. fingerprints, iris scans or voiceprints [2013.01] 利用者を認証する際に, 指紋や音声など個人に特有の身体的特徴を利用するものが付与される。照合のための技術の細部に特徴があるものは, それぞれの分野に応じた分類を主とし, 全体的なシステム構成に特徴があるもののみがここを主分類とする。",-,5B285
18,G06F21/33,3,証明書を用いるもの［２０１３．０１］,【ＩＰＣタイトル】 using certificates [2013.01] ユーザの認証の下位分類なので、機器証明書には付与しない。,-,5B285
19,"G06F21/33,350",4,特定のリソースにアクセスするためのもの，例．ケルベロスチケットを使用するもの,-,-,5B285
20,G06F21/34,3,外付機器の使用を含むもの，例．ドングルまたはスマートカード［２０１３．０１］,"【ＩＰＣタイトル】 involving the use of external additional devices, e.g. dongles or smart cards [2013.01]",-,5B285
21,G06F21/35,4,無線通信するもの［２０１３．０１］,【ＩＰＣタイトル】 communicating wirelessly [2013.01],-,5B285
22,G06F21/36,3,画像または像の提示によるもの［２０１３．０１］,【ＩＰＣタイトル】 by graphic or iconic representation [2013.01],-,5B285
23,G06F21/40,3,集団によるもの，すなわち２以上のセキュリティ主体が必要とされるもの［２０１３．０１］,"【ＩＰＣタイトル】 by quorum, i.e. whereby two or more security principals are required [2013.01]",-,5B285
24,G06F21/41,3,複数の計算機へのアクセスを提供するシングルサインオン［２０１３．０１］,【ＩＰＣタイトル】 where a single sign-on provides access to a plurality of computers [2013.01],-,5B285
25,G06F21/42,3,セキュリティデータのために別のチャンネルを用いるもの［２０１３．０１］,【ＩＰＣタイトル】 using separate channels for security data [2013.01],-,5B285
26,G06F21/43,4,無線チャネル［２０１３．０１］,【ＩＰＣタイトル】 wireless channels [2013.01],-,5B285
27,G06F21/44,2,プログラムまたは機器の認証［２０１３．０１］,【ＩＰＣタイトル】 Program or device authentication [2013.01],-,5B285
28,"G06F21/44,350",3,相互認証によるもの，例．デバイス間またはプログラム間の相互認証,-,-,5B285
29,G06F21/45,2,認証管理のための構造またはツール［２０１３．０１］,【ＩＰＣタイトル】 Structures or tools for the administration of authentication [2013.01],-,5B285
30,G06F21/46,3,パスワードの設計，またはパスワードの強度を検査するためのもの［２０１３．０１］,【ＩＰＣタイトル】 by designing passwords or checking the strength of passwords [2013.01],-,5B285
31,G06F21/50,1,プラットフォーム，（例．プロセッサ，ファームウェアまたはＯＳ）の完全性を維持するために、ユーザー，プログラムまたはデバイスを監視するもの［２０１３．０１］,"【ＩＰＣタイトル】 Monitoring users, programs or devices to maintain the integrity of platforms, e.g. of processors, firmware or operating systems [2013.01]",-,5B276
32,G06F21/51,2,アプリケーションのロード時，完全性またはソースの信頼性に基づいて、実行可能なソフトウェアを，例えば受理し，拒絶し，開始しまたは抑止するもの［２０１３．０１］,"【ＩＰＣタイトル】 at application loading time, e.g. accepting, rejecting, starting or inhibiting executable software based on integrity or source reliability [2013.01] アプリケーションをロード（実行開始にあたりメインメモリに読み込む際に）実行の可否を判断するもの。",-,5B276
33,G06F21/52,2,プログラムの実行中に，例えばスタックの完全性，バッファのオーバーフローまたは望まないデータ消去を防止するもの［２０１３．０１］,"【ＩＰＣタイトル】 during program execution, e.g. stack integrity, buffer overflow or preventing unwanted data erasure [2013.01]",-,5B276
34,G06F21/53,3,制限された環境内で実行するもの，例．サンドボックスまたはセキュアなバーチャル・マシン［２０１３．０１］,"【ＩＰＣタイトル】 by executing in a restricted environment, e.g. sandbox or secure virtual machine [2013.01]",-,5B276
35,G06F21/54,3,セキュリティルーチンまたはオブジェクトをプログラムに追加することによるもの［２０１３．０１］,【ＩＰＣタイトル】 by adding security routines or objects to programs [2013.01],-,5B276
36,G06F21/55,2,ローカルへの侵入を検知または対抗策を実行するもの［２０１３．０１］,【ＩＰＣタイトル】 Detecting local intrusion or implementing counter-measures [2013.01],-,5B276
37,"G06F21/55,320",3,長期間の監視又は報告を含むもの,ログを長期間にわたり監視し、その変化から侵入を検出するものなどに付与。,-,5B276
38,"G06F21/55,340",3,イベントの検出及び直接的な作用を含むもの,-,-,5B276
39,"G06F21/55,360",3,カバートチャネル，即ち、プロセス間のデータ漏洩の防止を含むもの,意図しない経路から情報が漏洩することへ対策するものに付与。 特徴的なキーワード例：サブリミナル（カバート）チャネル、サイドチャネル,-,5B276
40,"G06F21/55,380",4,差分電力攻撃（Ｄｉｆｆｅｒｅｎｔｉａｌ　Ｐｏｗｅｒ　Ａｔｔａｃｋ：ＤＰＡ）への対抗手段を備えるもの,-,-,5B276
41,G06F21/56,3,コンピュータ・マルウェアの検出または処理，例．アンチ・ウィルス装置［２０１３．０１］,"【ＩＰＣタイトル】 Computer malware detection or handling, e.g. anti-virus arrangements [2013.01]",-,5B276
42,"G06F21/56,310",4,ウィルス型分析,ウィルスのタイプ（トロイの木馬型、ブートプロセスに感染するもの、マクロウィルス、変異型など、種々のタイプが考えられる）を分析・分類するもの。,-,5B276
43,"G06F21/56,320",4,ウィルスの静的検出,-,-,5B276
44,"G06F21/56,330",5,ソースコード分析によるもの,ソースを分析することにより、不正な領域へのアクセス、パスワードファイルにアクセスしたり、不正な通信を行おうとする処理など、ウィルスらしい動作がないかを確認するもの。,-,5B276
45,"G06F21/56,340",5,ウィルスシグネチャ処理に特徴があるもの,シグニチャによりウィルスを検出するもののほか、シグニチャの更新など、シグニチャを用いてウィルスを検出するもの。,-,5B276
46,"G06F21/56,350",5,ファイルの完全性を検査することによるもの,署名の検証やハッシュ値の比較によりウィルスへの感染を判断するもの。,-,5B276
47,"G06F21/56,360",4,ウィルスの動的検出，即ち、実行時に検出が行われるもの，例．エミュレーション、疑わしい挙動を検出するもの,プログラムの実行中に挙動を検出することによりウィルスを検出するもの。仮想マシン上でウィルスの検出のためにプログラムを実行するものも含まれる。,-,5B276
48,"G06F21/56,370",4,特定のハードウェアを用いるもの,-,-,5B276
49,"G06F21/56,380",4,ウィルスの消去、感染したファイルの回復,-,-,5B276
50,G06F21/57,2,信頼された計算機プラットフォームの保証または維持，例．セキュアブートまたは電源断，バージョンの管理，システム・ソフトウェアの検査，セキュア更新または脆弱性評価［２０１３．０１］,"【ＩＰＣタイトル】 Certifying or maintaining trusted computer platforms, e.g. secure boots or power-downs, version controls, system software checks, secure updates or assessing vulnerabilities [2013.01]",-,5B276
51,"G06F21/57,320",3,セキュアプログラミング、例．ＢＩＯＳやファームウェアの更新,計算機プラットフォームの保証又は維持の下位分類なので、アプリケーションプログラムを実行させる土台となる部分のファームウェア、ＯＳレベルまでのプログラムを対象にする。 セキュリティホールを含まないようにプログラムを作成する技術も、セキュアプログラミングとよばれるが、この分類には含まれない。,-,5B276
52,"G06F21/57,350",3,セキュアブート,ブートプログラムやＯＳが改ざんされていないかを検証しながらシステムを起動するもの。ＴＰＭ(Trusted Platform module)に検証用の情報を格納しているのが一般的。,-,5B276
53,"G06F21/57,370",3,脆弱性評価及びコンピュータシステムのセキュリティ評価,-,-,5B276
54,G06F21/60,1,データを保護するもの［２０１３．０１］,【ＩＰＣタイトル】 Protecting data [2013.01],-,5B017
55,"G06F21/60,320",2,暗号化設備またはサービスを提供するもの,-,-,5B017
56,"G06F21/60,340",2,アクセス管理システムを管理するためのツールおよび構造,-,-,5B017
57,"G06F21/60,360",2,２つのデバイスあるいはプロセス間での伝送を機密化するもの,-,-,5B017
58,"G06F21/60,380",3,セキュアプリンティング,親展印刷など,-,5B017
59,G06F21/62,2,プラットフォームからのデータへのアクセスを保護するもの，例．鍵またはアクセスコントロールルールを用いるもの［２０１３．０１］,"【ＩＰＣタイトル】 Protecting access to data via a platform, e.g. using keys or access control rules [2013.01]",-,5B017
60,"G06F21/62,309",3,単一のファイルあるいはオブジェクトに対する保護，例．セキュアエンベロープの使用，鍵を用いた暗号化とアクセス，オブジェクト自体に付加したアクセス制御規則による保護,情報自体の変形、カプセル化等、各情報個別に情報保護が行われるといえるもの。,-,5B017
61,"G06F21/62,318",3,複数のファイルあるいはオブジェクトのシステムに対する保護，例．ローカル・分散ファイルシステムやデータベースの保護,情報を保護するための機構を、当該情報外に設けるものがこの分類以下に該当。,-,5B017
62,"G06F21/62,327",4,データ構造に関する保護を行うもの，例．レコード，型，クエリに関する保護,-,-,5B017
63,"G06F21/62,336",4,異種システム間の保護,-,-,5B017
64,"G06F21/62,345",4,個人情報の保護，例．資産情報や医療目的の情報の保護,-,-,5B017
65,"G06F21/62,354",5,匿名化による個人情報保護，例．所有者の識別情報からの個人情報の除去,-,-,5B017
66,"G06F21/62,363",5,インターネット通信時の個人情報保護，例，クッキーからの個人情報漏洩対策,-,-,5B017
67,"G06F21/62,372",4,第三者機関によるファイルあるいはドキュメントの登録による保護,-,-,5B017
68,"G06F21/62,381",4,プログラム実行時にＯＳ内のデータを保護するもの,-,-,5B017
69,"G06F21/62,390",3,アプリケーションの特徴あるいは機能に対する保護,-,-,5B017
70,G06F21/64,2,データの完全性を保護するもの，例．チェックサム，証明書または署名を用いるもの［２０１３．０１］,"【ＩＰＣタイトル】 Protecting data integrity, e.g. using checksums, certificates or signatures [2013.01] 電子署名プリミティブそのものの発明はG09C1/00,640@D 記憶装置に記憶されている状態のプログラムで、データとして扱われるものにも付与されうるが、G06F21/56,350(ファイルの完全性を検査することによるウィルス検出)など、より適切な分類を検討すること。",-,5B017
71,"G06F21/64,350",3,第三者機関を用いるもの,-,-,5B017
72,G06F21/70,1,特定の内部部品または周辺部品を保護するものであり，あるコンポーネントの保護により計算機全体が保護されるもの［２０１３．０１］,"【ＩＰＣタイトル】 Protecting specific internal or peripheral components, in which the protection of a component leads to protection of the entire computer [2013.01]",-,5B017
73,G06F21/71,2,セキュア演算または情報処理を保証するもの［２０１３．０１］,【ＩＰＣタイトル】 to assure secure computing or processing of information [2013.01],-,5B017
74,G06F21/72,3,暗号回路［２０１３．０１］,【ＩＰＣタイトル】 in cryptographic circuits [2013.01] 通常の演算処理を行う構成要素のほかに暗号化回路を用いることによりセキュア演算を保証するもの。,-,5B017
