No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,H04N23/00,0,電子イメージセンサを含むカメラまたはカメラモジュールおよびその制御［２０２３．０１］,【ＩＰＣタイトル】 Cameras or camera modules comprising electronic image sensors; Control thereof （旧H04N5/225に対応）,B60R1/00（（車両用の）光学的視認装置；運転者又は乗員の支援のためのリアルタイム視認装置であって撮像システム，例．車内又は車外で用いることに特に適合するカメラ又はビデオシステム，を利用するもの）,5C122
2,H04N23/10,1,異なる波長の光から画像信号を生成するためのもの［２０２３．０１］,【ＩＰＣタイトル】for generating image signals from different wavelengths[2023.01] 【旧FI】H04N9/04,-,5C065
3,H04N23/11,2,可視光線から赤外線までの波長の光から画像信号を生成するもの［２０２３．０１］,"【ＩＰＣタイトル】for generating image signals from visible and infrared light wavelengths[2023.01] 【旧FI】H04N5/33,200 赤外領域と他の領域とを撮像する装置。",H04N25/131（赤外線波長を通過させる要素を含むもの） G01J3/28（スペクトルの調査（分光測定））,5C024
4,H04N23/12,2,１つのセンサのみを有するもの［２０２３．０１］,【ＩＰＣタイトル】with one sensor only[2023.01] 【旧FI】H04N9/07,-,5C065
5,H04N23/13,2,複数のセンサを有するもの［２０２３．０１］,【ＩＰＣタイトル】with multiple sensors[2023.01] 【旧FI】H04N9/09,-,5C065
6,H04N23/15,3,レジストレーションずれを回避または補正するための回路を用いる画像信号の生成［２０２３．０１］,【ＩＰＣタイトル】Image signal generation with circuitry for avoiding or correcting image misregistration[2023.01] 【旧FI】H04N9/093,-,5C065
7,H04N23/16,3,これに関連する光学的装置，例．分光のためのものまたは色補正のためのもの［２０２３．０１］,"【ＩＰＣタイトル】Optical arrangements associated therewith, e.g. for beam-splitting or for colour correction[2023.01] 【旧FI】H04N9/097",G02B27/10（光束分割系または合成系（光導波路を用いた光信号の混合および分岐）,5C065
8,H04N23/17,2,光学―機械的走査手段のみを用いるもの［２０２３．０１］,【ＩＰＣタイトル】using opto-mechanical scanning means only[2023.01] 【旧FI】H04N9/10,H04N3/02（テレビジョンの光学－機械的手段のみによるもの）,5C065
9,H04N23/20,1,赤外線のみから画像信号を生成するもの［２０２３．０１］,"【ＩＰＣタイトル】for generating image signals from infrared radiation only[2023.01] 【旧FI】04N5/33,200",H04N5/33（赤外線の変換） H04N25/20（赤外線を画像信号に変換するためのＳＳＩＳの回路）,5C024
10,H04N23/21,2,近赤外［ＮＩＲ］線から［２０２３．０１］,【ＩＰＣタイトル】from near infrared [NIR] radiation[2023.01],-,5C024
11,H04N23/23,2,熱赤外線から［２０２３．０１］,【ＩＰＣタイトル】from thermal infrared radiation[2023.01],-,5C024
12,H04N23/30,1,Ｘ線から画像信号を生成するためのもの［２０２３．０１］,【ＩＰＣタイトル】for generating image signals from X-rays [2023.01] 【旧FI】H04N5/32,H04N5/32（X線の変換） H04N25/30（Ｘ線を画像信号に変換するためのＳＳＩＳの回路） A61B6/00（放射線診断用機器） G01N23/04（Ｘ線，中性子線，の使用による材料の調査または分析のため画像を形成するもの） G01T1/00（X線等の測定）,5C024
13,H04N23/40,1,撮像管用回路の細部［２０２３．０１］,【ＩＰＣタイトル】 Circuit details for pick-up tubes,"H04N3/16（陰極線管におけるビームの偏向,集束） H04N5/31-33（超音波,赤外線等による撮像） H04N7/18（超音波,赤外線等による撮像システム） H04N5/335（CCDの制御に関するもの） H01J29/00,31/00（陰極線管,電子ビーム管）",5C122
14,"H04N23/40,100",1,動作状況を示すインジケータを備えるもの（ＥＶＦへの付加情報の表示Ｈ０４Ｎ２３／６３，３００）,-,-,5C122
15,"H04N23/40,300",1,大きさや危険性によりアクセス不能な現場で撮像するためのもの，例．医療用内視鏡または工業用内視鏡,-,A61B1/04 撮影機またはテレビジョン装置と結合されている人体用内視鏡 G02B23/24 孔体の中を観察するための光学装置,5C122
16,H04N23/45,1,異なるタイプまたは異なるモードで動作する２つ以上のイメージセンサーから画像信号を生成するもの，例．動画用ＣＭＯＳセンサーと静止画用ＣＣＤの組み合わせ（色ごとにひとつの画像センサを有するカメラＨ０４Ｎ２３／１３）［２０２３．０１］,-,-,5C122
17,H04N23/50,1,構造的細部［２０２３．０１］,-,-,5C122
18,H04N23/51,2,筐体［２０２３．０１］,-,-,5C122
19,H04N23/52,2,イメージセンサの動作を最適化する要素，例．電磁干渉［ＥＭＩ］対策、熱伝導または冷却要素による温度制御［２０２３．０１］,-,"B60S1/02,400風防越し又は窓越しに車外をモニタする車内センサのクリアな視界のために風防又は窓を清掃するもの B60S1/62,100車外センサの最外レンズ又は観測方向のカバーを清掃するためのもの（下位のB60S1/62,110@Aがカメラ。）",5C122
20,H04N23/53,2,電子ビューファインダ，例．回動可能、着脱可能（表示制御はＨ０４Ｎ２３／６３）［２０２３．０１］,-,-,5C122
21,H04N23/54,2,電子イメージセンサ，撮像管，変位コイルまたは集束コイル［２０２３．０１］,-,"H04N25/47(イベント駆動方式の画像センサ(略称としては、EVS(EventVisonSensor),EDS(EventDrivenSensor),DVS(DynamicVisionSensor)等))",5C122
22,H04N23/55,2,電子イメージセンサに特に適合させた光学要素，およびその実装［２０２３．０１］,-,G02B6/00（ライトガイド） G02B6/42（ライトガイドと光電素子との結合）,5C122
23,"H04N23/55,100",3,ライトフィールドカメラ，プレノプティックカメラのための光学要素,-,-,5C122
24,H04N23/56,1,照明手段を備えるもの［２０２３．０１］,-,-,5C122
25,H04N23/57,1,他の機器に組み込むために特に適合させたカメラやカメラモジュールの機械的または電気的細部［２０２３．０１］,-,-,5C122
26,H04N23/58,1,カメラ本体を動かすことなくカメラの視野を変更するための手段，例．光学要素やイメージセンサを揺れ動かすまたはパンニングするもの（画像センサをシフトさせて画像信号の解像度を増加させるものＨ０４Ｎ２５／４８；光学手段のみを用いた画角の変更Ｇ０３Ｂ）［２０２３．０１］,-,-,5C122
