No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G05B23/00,0,制御系またはその一部の試験または監視（プログラム制御系の監視Ｇ０５Ｂ１９／０４８，Ｇ０５Ｂ１９／４０６）,-,"G05B19/048,G05B19/406にG05B19/418が優先; 機械を作動させるものという観点で、G05B19/406@Zとなりそうな場合:G05B19/18@W; ＜監視＞ ・デジタル計算機、作業者の監督の例:G06F、G06Q10/; ・監視画面、表示装置:G06F3/(5E501), (5E555), G09G5/(5C182); ・エラー検出、試験、監視:G06F11/,ソフトウェアのデバッグ:G06F11/36; ・材料に限定されない自動分析装置:G01N35/00@F; ・監視カメラ（放送されないテレビジョン方式、車両後方等）:H04N7/18@D; ・テレビカメラ:H04N5/225; ・伝送:H04B17/; ・通信による遠隔制御:H04Q9/, H04M11/; ・クライアント・サーバ系等の遠隔監視:H04L67/（旧G06F13/00,351）; ・データ交換ネットワークを監視または試験するための配置:H04L43/,サンプリングによる監視データの取得:H04L43/022,ログファイルを生成:H04L43/04; ・データ交換ネットワークの保守，運用または管理のための配置:H04L41/、障害，イベント，警告または通知の管理:H04L41/06、データ交換ネットワークの構成管理:H04L41/08; ・ビルの監視:G08B25/04,G06Q50/16,300; ・入退室の監視:G07C9/; ・弁の監視:F16K37/00@F,F16K51/00@F; ・原子力プラントの監視:G21C17/、制御:G21D3/; ・電力系統の遠方監視:H02J13/、制御:H02J3/; ・回転機械の監視:G01M99/00@A; ＜測定について＞、 ・記録装置:G01D9/; ・測定装置（トレンドグラフ表示）:G01D7/; ・測定又は試験:G01D21/00（移動体@B、試験@N（G01Nに関する記載あり）、監視@Q）;不特定のパラメータが予め決められた値を超過したことの信号を出す装置:G01D1/18; ・音声認識:G10L15/20,200、音響信号のコード化:G10L19/; ＜試験について＞ ・エンジンの試験:G01M15/;/ ・車両の試験:G01M17/; ・回路の試験:G01R31/; ・機械部品の試験:G01M13/; ・構造物の試験:G01M1/-7/; ・半導体の試験:H01L21/66; ＜その他＞ ・教育用シミュレータ:G09B9/; ・信号、警備、警報一般(例：アラーム):G08B(5C086,5C087); ・測定値、制御信号の伝送:G08C, 　例：二線式伝送:G08C19/02@A、無線伝送:G08C17/00、多重伝送:G08C15/00; ・知識の形式化、推論:G06N5/",3C223
2,G05B23/02,1,電気式試験または監視,-,-,3C223
3,G05B23/02@C,0,診断切替,診断するための切替など。,-,3C223
4,G05B23/02@E,0,模擬動作の形成；試験信号の印加,-,G05B13/02@A～Zの下位分類といえないシミュレータ使用の制御系:G05B17/02; マイコンの試験:G06F11/22(5B048); 回路の試験:G01R31/28(2G132),3C223
5,G05B23/02@F,1,動作進行の調整,-,-,3C223
6,G05B23/02@G,1,制御対象状態の模擬,-,教習又は訓練用シミュレータ：G09B9/00(2C028),3C223
7,G05B23/02@H,2,操作信号，操作状態からの模擬,操作信号からの模擬；操作状態からの模擬,-,3C223
8,G05B23/02@P,0,制御対象，制御装置又は制御系の特性の同定,制御対象の特性の同定；制御装置の特性の同定；制御系の特性の同定,オンライン同定:G05B13/02@D,3C223
9,G05B23/02@R,0,状態予測,状態を予測する方法など。,パターン分析:G06F18/20; 推論の仕方に特徴を有する知識ベースシステム:G06N5/04; 特定の数学的モデルに基づいたコンピュータシステム:G06N7/,3C223
10,G05B23/02@T,0,診断状態，診断内容，手順の表示,診断状態の表示；診断内容の表示；診断手順の表示,-,3C223
