No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G06F3/00,0,計算機で処理しうる形式にデータを変換するための入力装置；処理ユニットから出力ユニットへデータを転送するための出力装置，例．インタフェース装置［２００６．０１］,"【ＩＰＣタイトル】 Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements [1, 4, 2006.01] 　G06F13/00からG06F13/42の分類が設けられるまでは、バス転送技術の全てをG06F3/00,101以下に分類していた。 その後の分類改訂でバス転送技術一般は、G06F13/00以下の分類に付与することになったが、G06F13/00以下に付与できないものがG06F3/00に残り、これらの残った文献を分る為にG06F3/00に分識を作った。 従って原則としてG06F13/00以下に分類できなかった時に付与。 　また、転送制御手順(プロトコル)に特徴のあるものは, G06F13/00以下へ振り分け、当テーマは分類不用。 バスに関するもので構造と簡単な回路を含む文献が多い。  積極的に主を取っていくテーマではない",-,5B041
2,G06F3/00@A,0,デバイスの接続，増設，切離，選択，切替等に関するもの〔Ｗ，Ｙが優先〕,"コネクタを介してＩ／Ｏデバイス等の装置を接続したり、切替回路を介して接続する技術一般。 　構造のみでなく制御も絡む文献はG06F1/00,320でなくここに分類する。 　Ｉ／Ｏでなく（ＰＣ間接続等）、または、コンピュータと明記無くても、それらの内部に有するプロセッサに対するデバイスの接続等に特徴があれば副分類として付与  付与例） ・ﾉｰﾄＰＣ上にＦＤＤが実装されており、そのＰＣをＦＤＤを内蔵できるドッキングステーションに接続するとき、ＦＤＤをﾉｰﾄＰＣからドッキングステーションに移すもの ・カード接続アダプタ ・スロットカード","５Ｂ０３８　G06F1/00,320@A ５Ｂ１１４　G06F13/14,330",5B041
3,G06F3/00@B,1,活性挿脱〔あるいは活線挿抜〕〔電源切断なしの接続・切離〕,"電源を切断（オフ）状態にせずに、Ｉ／Ｏ装置やメモリカ－ドを本体装置から切り離したりあるいはその逆に本体装置に装着しても、機器の障害やエラ－が発生しないようにする技術 　G06F1/00,320@H（活線挿抜）との明解な区別はない、（両方付与） 　強いて分類すれば G06F1/00,320@H：構造が主な物、G06F3/00@B：回路が主、 　必要に応じて＠Ｗも","５Ｂ０３８　G06F1/00,320@H　構造",5B041
4,G06F3/00@C,1,非接触結合回路〔直流絶縁結合〕,ある装置（例えば、ＣＰＵ本体）とその付属装置（例えば、プリンタ）との間を、例えばトランス等を用いて直流的に絶縁する技術（信号成分は交流であるので何等の支障もなく伝達される）。 　無線（含む電磁結合）による接続、一般的な無線、及び、無線Ｉ/Ｏの制御内容に特徴があるものは含まない。 　コンピュータのＩ/Ｏに適用の場合のみ 付与例） ノートＰＣをドッキングステーションに実装すると、非接触で信号伝達変圧器で商用電源を受け、その中から信号を取り出す物 非付与例） 非接触ＩＣカードそのもの,"H04L25/02　通信、パルス回路 無線インターフェイスによるＩ/Ｏ　G06F13/00,351@L 非接触接続型カード　G06K19/00@H",5B041
5,G06F3/00@D,2,光結合,フォトカップラ等の光結合手段を用いて機器間の直流絶縁を図る。 信号の伝達手段として光ファイバ－ケ－ブルが用いられることもある。 　フォトカップラ,"H04B9/00　光電送 光・光ファイバによるＩ/Ｏ　G06F13/00,351@K",5B041
6,G06F3/00@E,0,光転送〔含む光フアイバによる転送〕〔光バスを含む〕,上記G06F3/00@Dが物理的には殆ど接触しているのに対し、本分類は離れた装置間の信号転送、 　例えば、ミラ－ボ－ル等を室内の天井に釣り下げ、送信側ではこのミラ－ボ－ルに向けて光信号を送出し、受信側ではこのミラ－ボ－ルの乱反射作用であらゆる場所に生じる多方向反射波を受信することであたかもバス転送と同様にデ－タの受信が可能な技術や、光ケ－ブルを用い従来のメタリック回線と同様なバス転送を行う技術。 光バス転送の制御内容に特徴があるものは含まない。 　例）計算機バスを光ファイバで信号転送する物、リモコン、ワイヤレスマウス 　コンピュータ以外の光伝送はH04B9/00,"H04B9/00　光伝送 光・光ファイバによるＩ/Ｏ　G06F13/00,351@K",5B041
7,G06F3/00@F,0,バス線の接続，切離し回路〔異常バスの回路的結合を含む〕〔例．バス幅変換〕,"バスラインの物理的な接続、切断に関する技術。 異種バス間の変換アダプタは、G06F13/36,320@Aへ。 付与例） バスの途中にバッファーを挿入してバス接続・切離し 非付与例） 外部バス（ＵＳＢ等）の文献","５Ｂ０６１　G06F13/36,320　バス制御",5B041
8,G06F3/00@G,0,バス駆動回路一般,"バスドライバ－等のバスラインの駆動回路の技術。 H03K19/00,101でも取らず、G06F13/00以下でも取れないものを分類する。 トランスミッタ・レシーバ関連制御","H03K19/00,101、パルス ５Ｂ０７７他　G06F13/00",5B041
9,G06F3/00@H,1,送信器，受信器〔含むトライステ－トバツフア，ラツチ〕,バスからのデ－タを受けたり、バスへデ－タを送出する技術。 ドライバ－、レシ－バ－、バスバッファ,"５Ｂ０７７　G06F13/38、 H03K19/00,101、パルス H04L25/02　通信、パルス",5B041
10,G06F3/00@J,0,プリチヤ－ジ，デイスチヤ－ジ，プルアツプ，プルダウン〔主として高速化が目的〕,バス線に存在する分布容量に対して予め充電電荷を供給し、印加パルスの立ち上がりを早くし高速化を図る技術（プリチャ－ジ）。 あるいは、この逆に上記の分布容量に充電されている電荷を予め放電させておき、印加パルスの立ち下がりを早くして高速化を図る技術（ディスチャ－ジ）。 　バスドライバのオ－プン状態等で、バスラインの電位が不定となりレシ－バが誤動作状態となるのを防ぐ為に、所定の値の抵抗値を有する抵抗をバスラインのホット側とア－ス側／電源ラインに介挿する（プルアップ／プルダウン）技術。,G11C11/34（ＲＡＭのプリチャ－ジ） H04L25/02　通信、パルス回路、その他種々の応用分野,5B041
11,G06F3/00@K,0,整合・反射防止,バス上に印加されるパルス信号が高速になると、例え数ｃｍのバスラインでも分布状数的性質の信号伝送路となる為に、例えば、印加（進行）パルスがバスラインの他端で反射されたパルスと合成されその波形が崩れることが生じる。 　これらの反射波を無くす事を目的としてバスラインの終端に整合抵抗（バスラインの特性インピ－ダンスとほぼ等しい値の抵抗）を接続する技術。 あるいは、バスの終端に何等のデバイスを接続してクロック等を利用して強制的（同期をとり）に反射波を無くす技術。 マッチング、終端抵抗、ＳＷＲ、ターミネータ,H04B3/00　電送、 H04L25/02　通信、パルス,5B041
12,G06F3/00@L,0,レベル変換，レベルシフト，正，負変換,"あるデバイスで処理される信号のレベルと別なデバイスでの信号レベルが違う場合、例えば、ＴＴＬレベル（信号の電圧レベルがほぼ５Ｖ）で動作するデバイスと、ＭＯＳレベル（信号の電圧レベルが３～１５Ｖと範囲がある）で動作するデバイスのように信号の電圧値が相違するデバイス間の信号の受け渡しがうまくいく様に信号レベルの変換（レベルシフト）を行う技術 　H03K5/02，H03K19/00,101がほとんど主分類でやる。入出力関連のみ  ディファレンシャルとシングルの変換、ＭＯＳとＴＴＬのレベル変換 非付与例） メモリ入力のための信号レベル変換",H03K　通信、パルス回路,5B041
13,G06F3/00@M,0,双方向バス転送〔Ｎが優先〕,バスは通常双方向転送が可能であるので特徴の無い場合はことさらここに分類しない。 付与例） セントロニクスの双方向転送,"５Ｂ０７７　G06F13/42,330",5B041
14,G06F3/00@N,0,中間中継増幅回路,転送速度の向上や信号の減衰を補償する等の目的でバスラインの途中に能動的な信号増幅手段を介挿する技術。,H04L25/02　通信、パルス回路,5B041
15,G06F3/00@P,0,端子数の削減を図るためのもの〔Ｐ／Ｓ変換によるものを含む〕,デバイス間を接続するには、当然、デ－タライン、制御ライン、あるいは電源供給ライン等からの信号、エネルギ－が伝達できるだけのコネクタのピン数が必要となる。 ここではこれらのピン数を種々の手段（例えば、並列／直列変換、時分割／周波数分割）で削減する技術。,"H03K19/00,101@Rパルス H04L25/02　通信、パルス",5B041
16,G06F3/00@Q,0,電源回路関連〔Ｙが優先〕,バスドライバ等への電源供給に関する技術。 電源制御のうちインタフェースに絡む特殊なもの（バスに関連深いもの）,５Ｂ０１１,5B041
17,G06F3/00@R,1,節電対策,例）バス駆動回路の節電 G06F13/00のうちハードがらみの節電、プルダウン／プルアップ抵抗等によって消費される電力を何等かの手段で削減する等の技術。,５Ｂ０１１,5B041
18,G06F3/00@S,0,構造に関するもの,-,-,5B041
19,G06F3/00@T,1,バス構造〔接続形態を含む〕,バスラインの形状、バスラインとバスラインとの接続形態に関する技術。 　例）バスの長さに対するバッファの配置、バスの太さ切り換え,５Ｂ０７７他　G06F13/40 G06F13/00,5B041
20,G06F3/00@V,1,コネクタ，ケ－ブル，プラグ，ジヤツク等取付技術,"デバイスとデバイスとを接続する際に、コネクタやケ－ブルが必要となるが、ここにはそれらに特徴のあるものを分類する。 たとえば、コネクタ・ケーブルに回路が実装されている技術 　コンピュータ機器のコネクタ自体はG06F1/00,320(5B038)、 付与例） ノートパソコンのケーブル付ＰＣカードの取付技術","５Ｂ０３８　G06F1/00,320　構造 H01R　コネクタ一般",5B041
21,G06F3/00@W,0,誤動作防止，監視〔モニタ〕〔ソフト的なものは，Ｇ０６Ｆ１３／００－３０１〕,"G06F1/00,320@J誤挿入防止に分類できないもの","５Ｂ０３８　G06F1/00,320@J ５Ｂ１１４　G06F13/14,330 ５Ｂ０８８　G06F11/00,350　エラー ５Ｂ０７７　G06F13/42,350@Z ５Ｂ０７９　G06F1/04@A",5B041
22,G06F3/00@X,1,ノイズの発生防止，除去〔Ｊが優先〕,例えば、プリント基板上に印刷されているバスラインから、あるいはバスラインへの不要信号（ノイズ）の放出、混入の防止技術。 Ｊ及びＫが優先する。 　計算機本体と周辺装置とを接続するケ－ブルから放出されるノイズの発生の防止に関する技術。 例）未使用コネクタﾋﾟﾝの接地,"５Ｂ０３８ G06F1/00,320@J ５Ｂ１１４ G06F13/14,330 ５Ｂ０８８ G06F11/00,350 エラー ５Ｂ０７７ G06F13/42,350@Z ５Ｂ０７９ G06F1/04@A",5B041
23,G06F3/00@Y,1,デバイス等の保護〔Ｂ，Ｃが優先〕〔ラツシユカ－レントの防止を含む〕,バスドライバ素子はＣ－ＭＯＳ等の半導体で構成されているので過電圧に弱い静電気、過電圧、ラッシュカ－レント、トランスミッタの貫通電流の防止,H03K17/00　パルス回路 G06F11/00　エラー,5B041
24,G06F3/00@Z,0,その他,デ－タを計算機に入力するにはキ－ボ－ド、マウス等の入力装置を用いるが、これらの特定の入力装置に依存しないデ－タ入力装置（一般的な）に関する技術,-,5B041
25,G06F3/01,1,ユーザーと計算機との相互作用のための入力装置または入力と出力が結合した装置（Ｇ０６Ｆ３／１６が優先）［２００６．０１］,"【ＩＰＣタイトル】 Input arrangements or combined input and output arrangements for interaction between user and computer (G06F 3/16 takes precedence) [2006.01] 　G06F3/01,510～3/0489,170に当てはまらないものをここに分類する。 　可能な限り下位の分類に当てはめ、どうしても当てはまらないものだけを付与すること。",-,5E555
26,"G06F3/01,510",2,人体との相互作用のための装置,"CPCのG06F3/011に対応。ただし、下位に、CPCのG06F3/012（頭部追跡入力装置）及びG06F3/013（視標追跡入力装置）に対応する分類は持たない。 　人体との相互作用のための装置であって、G06F3/01,514～G06F3/0489,170に当てはまらないものをここに分類する。 例．ユーザ没入型バーチャルリアリティ 　ユーザーと計算機との相互作用のためのものであって、頭部追跡入力装置や視標追跡入力装置を用いるものについては、ポインティングデバイスとしての特徴があれば、G06F3/033系の付与を検討し、ポインティング以外の特徴については、このFIを付与する。","空間または支持部材に固定されたカメラにより目を撮影して視線を検出するポインティングデバイス：G06F3/0346,423",5E555
27,"G06F3/01,514",3,手に付けた入出力装置，例．データグローブ,CPCのG06F3/014に対応。,-,5E555
28,"G06F3/01,515",3,神経系の活動に基づいた入力装置，例．脳波や筋電図の検出,CPCのG06F3/015に対応。 例．脳波（ＥＥＧ）検出、筋電図（ＥＭＧ）検出、皮膚電気反射検出に基づくもの,-,5E555
29,"G06F3/01,560",2,触力覚フィードバック,"CPCのG06F3/016に対応。 　動的な触力覚フィードバック。 　受動的フィードバックでも、計算機の制御のもとで動的に再構成可能なもの（例．電子筋肉などにより、タッチパッド表面から持ち上げられるボタン）は、ここに分類する。 　デジタイザの触力覚フィードバックについては、構造に特徴がある場合は、G06F3/041,480の付与し、構造以外の特徴については、このFIを付与する。","触力覚を能動的に伝える構造を有するデジタイザ：G06F3/041,480",5E555
30,"G06F3/01,570",2,ジェスチャー入力,"CPCのG06F3/017に対応。 　様々なセンシング技術（例．ユーザをモニタリングするカメラ、人体との相互作用のための装置、３次元空間を自由に移動されるデバイスによる入力、光電子検出装置）を用いて捕捉されるユーザの一連／一組の動きによるもの。 　携帯端末の筐体の動きを用いたジェスチャー入力もここに分類する。 　デジタイザのジェスチャー入力については、デジタイザーの位置検知や位置検知後の判定に特徴がある場合は、G06F3/041,595を付与し、GUIに特徴がある場合は、G06F3/0488,130を付与し、これら以外の特徴については、このFIを付与する。","・タッチスクリーンまたはデジタイザを利用するGUIであって、手書きデータ入力によるもの，例．ジェスチャーまたはテキスト：G06F3/0488,130 ・軌跡、ジェスチャーの検知に特徴があるデジタイザ：G06F3/041,595 ・イメージ分析により人間の動きを抽出するもの：G06T7/20,300",5E555
31,"G06F3/01,590",2,特殊な入力装置または入力と出力が結合した特殊な装置,現時点では付与しない。,-,5E555
