No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G03B17/00,0,カメラまたはカメラ本体の細部；その付属品（レンズフードまたはキャップＧ０３Ｂ１１／０４）,-,-,2H020
2,G03B17/00@B,0,遠隔姿勢制御,-,カメラの姿勢制御一般は、G03B15/00@P（２Ｖ）,2H020
3,G03B17/00@C,0,フイルム送り,分識Ｃ～Ｈは、モーターを使用しないフィルム送りに付与する。,-,2H020
4,G03B17/00@D,1,巻上げ,-,-,2H020
5,G03B17/00@E,2,ハンドル,-,-,2H020
6,G03B17/00@F,1,巻戻し,-,-,2H020
7,G03B17/00@G,2,操作部材,-,-,2H020
8,G03B17/00@H,0,ぜんまい動力カメラ,-,-,2H020
9,G03B17/00@J,0,モ－タ－ドライブ,分識Ｋ～Ｘは、全てモータードライブ技術Ｊの下位展開である。 ＡＰＳカートリッジの遮光蓋の開閉も含む。,-,2H020
10,G03B17/00@K,1,節電，電池の長寿命化を図るもの,-,-,2H020
11,G03B17/00@L,1,駒速等のカメラ動作機能の高速化を図るもの,-,-,2H020
12,G03B17/00@M,1,誤作動又は損傷（例．フイルム等）の防止を図るもの,-,-,2H020
13,G03B17/00@N,1,誤撮影，誤露光等の誤操作又はフイルムの無駄防止を図るもの,-,-,2H020
14,G03B17/00@P,1,カメラ動作機能の精確化又は静音化を図るもの,-,-,2H020
15,G03B17/00@Q,1,カメラの多機能化を図るもの,-,-,2H020
16,G03B17/00@R,1,初期巻上げ又は空送りに特徴を有するもの,途中巻戻し後の巻上げ時の頭出しにも付与。,-,2H020
17,G03B17/00@S,1,一駒送りに特徴を有するもの,-,-,2H020
18,G03B17/00@T,1,巻戻しに特徴を有するもの,-,-,2H020
19,G03B17/00@U,1,予備巻上げを行なうもの,-,-,2H020
20,G03B17/00@V,1,電源又は駆動源に特徴を有するもの,-,-,2H020
21,G03B17/00@W,1,カメラ動作のための伝達機構に特徴を有するもの,-,-,2H020
22,G03B17/00@X,1,カメラ動作のためのシ－ケンス制御に特徴を有するもの,-,-,2H020
23,G03B17/00@Z,0,その他のもの,-,-,2H020
24,"G03B17/00,101",1,溶明暗，オ－バ－ラツプまたはワイプ撮影装置,-,-,2H020
25,G03B17/02,1,本体,操作ボタンの配列。裏蓋や各部材（プリント基板など）の配置など（H1３．３．３０加筆修正）,電源、配線についてはG03B7/26（２Ｖ）、G03B17/00@V（２Ｖ）に注意。,2H100
26,G03B17/04,2,分解できるもの，たためるものまたは伸縮できるもの，例．べんとう箱状のもの,レンズ付きフィルム、沈胴式カメラ、カメラモジュールが格納されるものも含まれる。,レンズ付きフィルムの関連分野G03C3/00，575（２Ｖ） コンパクトズームカメラG03B5/00@E（２Ｖ） ボディに組み込まれたレンズカバーG03B11/04（２Ｖ） カメラ以外の光学用蛇腹G02B7/22（２Ｖ）,2H101
27,G03B17/06,2,他のカメラ部材と関連なく，本体内に取り付けられた露出計その他の表示装置をもつもの,-,-,2H101
28,G03B17/08,2,防水性の本体またはハウジング,-,密封手段F16J（３Ｗ）,2H101
29,G03B17/10,2,防音性の本体,-,-,2H101
30,G03B17/12,2,対物レンズ，補助レンズ，フィルター，マスク，またはターレットを取り付けるための装置をもつもの,２焦点カメラ等,-,2H101
31,G03B17/12@A,0,補助レンズ系を有するカメラ,-,-,2H101
32,G03B17/12@Z,0,その他のもの,-,-,2H101
33,G03B17/14,3,交換できるもの,マウント構造に関するもの。カメラ本体とレンズの情報の伝達に関するものを含む。,フィルター枠等G03B11/00（２Ｖ） バヨネット一般F16B21/02（３Ｗ）,2H101
34,G03B17/16,2,映画カメラとスチルカメラの両者を包括したもの,-,マイクロフィルム用G03B27/32@D（２Ｖ）処理部があればG03B17/50（２Ｖ）も関連,2H101
35,G03B17/17,2,写真像を形成するために光線束中に反射鏡を配置したもの，例．カメラの大きさを小さくするためのもの,-,一眼レフのミラー機構はG03B19/12（２Ｖ）へ,2H101
36,G03B17/18,1,カメラ部材の状態または明るさの適正を表示する信号（焦点深度を示すものＧ０３Ｂ１３／３０）,フィルムカートリッジの表示はG03B17/18@Zも付与。警報も表示の一種と考える。,-,2H102
37,G03B17/20,2,ファインダー内に見えるもの,-,-,2H102
38,G03B17/22,1,フイルムを切り離す装置をもつもの,-,-,2H100
39,G03B17/24,1,フイルム上に個々に印を付けるための装置をもつもの，例．タイトル，露出時間,カメラで記録したものをカメラ内で読み取るものを含む。 カメラ内に画面を挿入して重ね撮るものを含む。,G03B31/00（２Ｍ）にも必要により付与する。 磁気ヘッド→ G11B5/127（H1３．３．３０加筆修正）,2H103
40,G03B17/26,1,感光材料を保持し，カメラ内に挿入するのに使われる支持器（Ｘ線フィルム用支持器Ｇ０３Ｂ４２／０４）［２］,デスク型、１１０型多し。,-,2H020
41,G03B17/28,1,カメラ内での感光材料の位置づけ,-,-,2H020
42,G03B17/28@A,0,フイルム緊張装置,-,-,2H020
43,G03B17/28@B,1,圧板式,-,-,2H020
44,G03B17/28@C,0,フイルム支持装置,カセット内の案内を含む案内支持手段一般。,-,2H020
45,G03B17/28@D,0,フイルム交換装置,交換のための巻取軸の着脱を含む交換手段一般。,-,2H020
46,G03B17/28@E,0,異種サイズフイルム用〔異種画面サイズ選択を含む〕,トリミングによるパノラマを含む。一部G03B17/28@ZやG03B17/24にあり。,-,2H020
47,G03B17/28@Z,0,その他のもの,他に該当しない装填関連や交換に伴う位置決め。,-,2H020
48,G03B17/30,2,スプールその他フイルムをコイル状に巻いた回転できる支持部の位置づけ,巻き取り中心に付与する。,フィルムデータの読取はG03B7/24（２Ｖ）を主分類とし、ものによってG03B1/00@B（２Ｖ）、目的に応じてG03B17/18@A、G03B17/28@Z、Ｇ０３Ｂ１７／３０（２Ｖ）も考慮する。,2H020
49,G03B17/32,2,感光板またはカットフイルムの位置づけ,-,G03B27/62に注意。,2H020
50,G03B17/34,3,感光板またはカットフイルムの交換,-,-,2H020
