No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G08G1/00,0,道路上の車両に対する交通制御システム（道路標識または交通信号の装置Ｅ０１Ｆ９／００）,道路上の車両に対する」とは、３／００が船、５／００が航空機、７／００がその他であるのことに対応したものであるが、特に限定する必要のないものも、１／００に分類する。,-,5H181
2,G08G1/00@A,0,交通情報一般の収集，解析，伝送，記録〔予測，シミュレーター，モデリング，表示，モニターなど〕〔交通量の検出，監視は１／０１〕,交通情報の収集、記録、解析、に関するもので、１／０１、１／０７に含まれないもの。,-,5H181
3,G08G1/00@C,1,交通流，交通量の分布，配分，分岐〔予測，シミュレーターなど〕,-,-,5H181
4,G08G1/00@D,1,運行管理〔運行記録，旅行時間，出発時刻など〕,記録をとって制御用データとするもの。例．バス、ﾀｸｼｰ、トラック等の運行を効率的に行えるように、又は、運行計画に利用できるようにするもの。,"単に管理のために記録するものはG07C。 運輸・通信業のための業務システムG06Q50/30。乗物・運行管理G06Q50/30,100（基本的に副分類として付与される）。",5H181
5,G08G1/00@J,1,路面の異常検出〔自然現象，災害，事故，障害物の検出と通報処理，交通可能性判断など〕〔衝突防止は１／１６，自然現象それ自体の検出はＧ０１Ｗ〕,積雪、凍結、冠水、落石、土砂崩れ、霧などの監視。,-,5H181
6,G08G1/00@X,0,専用走行路，軌道，構内走行のためのもの〔鉄道，新交通システム，無人車，フォークリフト，クレーン，エレベータなど〕,隊列走行,姿勢制御はG05D。 自動操舵はB62D6。,5H181
7,G08G1/00@Z,0,その他のもの,車両を地域で共用するシステム、レンタカーの無人貸し出しシステム、カーシェアリング,-,5H181
8,G08G1/005,1,歩行者用の誘導案内表示装置［５］,歩行者へ進路を指示するもの。盲人のための音声信号（１／０９５Ｆ）も付与。,表示装置自体はG09F9。 路面の凹凸による表示はE01F9/04。,5H181
9,G08G1/01,1,計数または制御されるべき交通量の検出（Ｇ０８Ｇ１／０７～Ｇ０８Ｇ１／１４が優先；車両または車両の利用者に対する道路利用料金制または混雑時課金制　Ｇ０７Ｂ１５／０６）,交通違反（オーバースピード、駐車違反、路側帯走行）検知も含む。,-,5H181
10,G08G1/01@A,0,交通量，交通状態量変動の検出，処理一般〔伝送，記録，表示，監視，モニター，故障検出，保守など〕〔監視一般は１／００Ａ〕,プローブ,-,5H181
